idInsurance;Type;Date_of_time;idClient
7001;Ипотечное страхование недвижемости;2010-04-10 07:30:10;1001
7002;Ипотечное страхование жизни;2017-07-18 02:07:18;1002
7003;Страхование финансов;2011-11-13 23:54:13;1003
7004;Защита дома;2012-06-03 00:49:03;1004
7005;ОСАГО;2014-07-27 16:53:27;1005
7006;КАСКО;2012-02-08 03:37:08;1006
7007;Защита любимых вещей;2013-11-03 10:53:03;1007
7008;Страхование путешественников;2016-09-10 05:06:10;1008
7009;Защита от травм;2011-07-30 20:16:30;1009
7010;Защита от клеща;2012-04-18 05:48:18;1010
7011;Защита любимых вещей;2011-10-02 16:48:02;1011
7012;Защита от травм;2011-08-27 06:33:27;1012
7013;Ипотечное страхование жизни;2010-01-12 22:59:12;1013
7014;КАСКО;2016-10-05 08:52:05;1014
7015;Защита от травм;2017-05-26 19:27:26;1015
7016;Страхование путешественников;2015-07-05 21:20:05;1016
7017;ОСАГО;2013-10-17 02:18:17;1017
7018;Ипотечное страхование недвижемости;2012-04-11 23:54:11;1018
7019;Ипотечное страхование недвижемости;2015-09-18 22:30:18;1019
7020;Ипотечное страхование недвижемости;2012-08-04 10:25:04;1020
7021;Ипотечное страхование жизни;2017-11-09 15:17:09;1021
7022;Защита любимых вещей;2017-09-23 12:51:23;1022
7023;Страхование финансов;2016-09-28 19:29:28;1023
7024;КАСКО;2013-05-11 11:44:11;1024
7025;Защита любимых вещей;2012-05-02 18:56:02;1025
7026;Ипотечное страхование жизни;2016-02-22 20:32:22;1026
7027;Защита любимых вещей;2011-08-31 05:50:31;1027
7028;КАСКО;2010-05-24 08:01:24;1028
7029;Страхование путешественников;2010-06-18 02:06:18;1029
7030;Защита от травм;2014-08-30 18:38:30;1030
7031;Защита любимых вещей;2016-10-09 14:49:09;1031
7032;Страхование путешественников;2014-05-26 10:55:26;1032
7033;Страхование финансов;2012-08-07 21:32:07;1033
7034;КАСКО;2016-07-21 13:46:21;1034
7035;Защита от травм;2013-07-03 09:38:03;1035
7036;Ипотечное страхование недвижемости;2010-03-20 00:56:20;1036
7037;Ипотечное страхование недвижемости;2010-03-30 21:49:30;1037
7038;КАСКО;2017-03-20 11:20:20;1038
7039;Ипотечное страхование жизни;2016-05-25 15:19:25;1039
7040;Страхование финансов;2016-10-15 11:27:15;1040
7041;Ипотечное страхование жизни;2013-12-31 15:26:31;1041
7042;Защита от травм;2016-03-01 03:42:01;1042
7043;Ипотечное страхование недвижемости;2013-02-20 10:47:20;1043
7044;Страхование путешественников;2011-03-19 20:45:19;1044
7045;Страхование финансов;2017-08-11 22:44:11;1045
7046;КАСКО;2013-01-18 06:02:18;1046
7047;Ипотечное страхование недвижемости;2016-07-10 12:48:10;1047
7048;Ипотечное страхование жизни;2012-09-07 11:58:07;1048
7049;Страхование финансов;2017-12-08 11:58:08;1049
7050;КАСКО;2011-08-20 20:25:20;1050
7051;КАСКО;2012-06-24 16:05:24;1051
7052;Ипотечное страхование жизни;2014-07-17 09:05:17;1052
7053;Страхование путешественников;2010-12-22 07:14:22;1053
7054;Ипотечное страхование недвижемости;2015-10-24 23:49:24;1054
7055;ОСАГО;2012-01-22 05:08:22;1055
7056;Защита любимых вещей;2012-03-28 17:01:28;1056
7057;Страхование финансов;2011-10-28 04:30:28;1057
7058;Защита дома;2017-08-11 04:03:11;1058
7059;КАСКО;2015-06-06 14:24:06;1059
7060;Защита дома;2015-05-12 09:31:12;1060
7061;Страхование финансов;2010-09-25 07:38:25;1061
7062;Страхование финансов;2017-03-03 19:48:03;1062
7063;ОСАГО;2015-11-26 20:09:26;1063
7064;ОСАГО;2011-08-12 13:14:12;1064
7065;КАСКО;2017-01-22 16:22:22;1065
7066;Защита дома;2010-10-05 20:39:05;1066
7067;Защита дома;2011-11-24 00:34:24;1067
7068;Ипотечное страхование недвижемости;2010-10-28 23:39:28;1068
7069;Защита любимых вещей;2015-04-19 14:17:19;1069
7070;Защита от травм;2010-10-10 03:03:10;1070
7071;ОСАГО;2010-12-20 19:41:20;1071
7072;ОСАГО;2016-12-14 17:11:14;1072
7073;Ипотечное страхование жизни;2017-01-20 04:54:20;1073
7074;ОСАГО;2017-09-23 22:20:23;1074
7075;Страхование финансов;2017-10-13 23:26:13;1075
7076;Страхование путешественников;2016-02-02 11:04:02;1076
7077;Защита любимых вещей;2017-01-26 23:32:26;1077
7078;КАСКО;2016-04-11 12:41:11;1078
7079;Защита любимых вещей;2014-02-26 19:35:26;1079
7080;ОСАГО;2012-06-06 03:28:06;1080
7081;Защита от травм;2013-03-20 05:27:20;1081
7082;Страхование путешественников;2011-03-09 15:11:09;1082
7083;ОСАГО;2011-01-02 17:50:02;1083
7084;Ипотечное страхование жизни;2016-04-23 09:22:23;1084
7085;Ипотечное страхование жизни;2010-06-21 13:44:21;1085
7086;Ипотечное страхование недвижемости;2015-05-05 21:47:05;1086
7087;Страхование путешественников;2012-05-18 17:43:18;1087
7088;Ипотечное страхование жизни;2016-03-10 00:41:10;1088
7089;ОСАГО;2016-12-11 11:22:11;1089
7090;Страхование путешественников;2013-10-10 11:18:10;1090
7091;Страхование финансов;2011-06-16 20:38:16;1091
7092;Защита дома;2014-08-25 14:09:25;1092
7093;Защита дома;2015-11-20 17:13:20;1093
7094;ОСАГО;2015-08-16 09:26:16;1094
7095;Страхование путешественников;2010-07-16 17:54:16;1095
7096;Защита от травм;2016-05-22 19:25:22;1096
7097;Защита от травм;2017-08-26 21:59:26;1097
7098;Защита от травм;2010-02-27 04:47:27;1098
7099;Защита любимых вещей;2017-01-17 02:40:17;1099
7100;Страхование финансов;2016-04-02 03:00:02;1100
7101;Защита от травм;2015-09-26 00:19:26;1101
7102;ОСАГО;2010-10-10 08:45:10;1102
7103;Страхование путешественников;2015-07-17 05:59:17;1103
7104;Защита любимых вещей;2011-03-12 04:16:12;1104
7105;Защита дома;2014-09-29 18:40:29;1105
7106;КАСКО;2010-12-28 19:42:28;1106
7107;Ипотечное страхование недвижемости;2011-09-10 12:46:10;1107
7108;Защита любимых вещей;2012-04-15 07:31:15;1108
7109;Защита любимых вещей;2010-06-03 07:24:03;1109
